"title_id","author_id","title","volumes","publisher_location","publisher_name","publication_year"
2367,907,"A New Godiva",3,"London","Bentley",1876
2368,908,"Carstairs",3,"London","Chapman and Hall",1876
2369,908,"Shadows Cast Before",3,"London","Chapman and Hall",1874
2370,909,"Bluebell: A Novel",3,"London","Samuel Tinsley",1875
2371,910,"Ninety-Three",3,"London","Sampson Low",1874
2372,911,"Frank Amor: A Novel",3,"London","Samuel Tinsley",1876
2373,912,"The Girl He Left Behind Him: A Novel",3,"London","Bentley",1876
2374,912,"A Pink Wedding: A Novel",3,"London","Bentley",1880
2375,913,"The Mystery of Orleton Manor",3,"London","James Blackwood",1876
2376,914,"A Fearful Adversary: A Novel",3,"London","Samuel Tinsley",1880
2377,915,"Fashion and Passion: or, Life in Mayfair",3,"London","Chapman and Hall",1876
2378,916,"Heir to Two Fortunes: A Novel",3,"London","Remington",1877
2379,917,"Hence These Tears: A Novel",3,"London","Bentley",1872
2380,1,"Marriage a la Mode: Romance in the Life of a Yorkshire Squire",3,"London","Remington",1880
2381,952,"Loyal and True: A Novel",3,"London","Tinsley Brothers",1877
2382,2574,"Lynton Abbott's Children: A Novel",3,"London","Samuel Tinsley",1879
2383,14,"Mr. Charlton: A Novel",3,"London","Hurst and Blackett",1877
2384,1,"Nettle Stings: or, Country Quarters: A Tale, by a Yorkshire Pen",3,"London","Sampson Low",1877
2385,1747,"Macalpine: or, On Scottish Ground: A Novel",3,"London","Sampson Low",1872
2386,1,"Nelly Dynisford: A Novel",3,"London","Tinsley Brothers",1873
2387,1,"The Last Inca: or, The Story of Tupac Amaru",3,"London","Tinsley Brothers",1874
2388,25,"Overmatched",3,"London","F. W. J. Baker",1876
2390,26,"Love's Young Dream: A Novel",3,"London","Tinsley Brothers",1877
2391,26,"Love's Crosses: A Novel",3,"London","Bentley",1878
2392,51,"Moths: A Novel",3,"London","Chatto and Windus",1880
2393,56,"At his Gates: A Novel",3,"London","Tinsley Brothers",1872
2394,56,"Phoebe, Junior: A Last Chronicle of Carlingford",3,"London","Hurst and Blackett",1876
2395,56,"Within the Precincts",3,"London","Smith, Elder",1879
2396,56,"The Story of Valentine and his Brother",3,"Edinburgh","Blackwood",1875
2397,56,"Carità",3,"London","Smith, Elder",1877
2398,56,"He That Will Not When He May",3,"London","Macmillan",1880
2399,56,"Ombra",3,"London","Hurst and Blackett",1872
2400,56,"The Primrose Path",3,"London","Hurst and Blackett",1878
2401,56,"Innocent: A Tale of Modern Life",3,"London","Sampson Low",1873
2402,56,"For Love and Life",3,"London","Hurst and Blackett",1874
2403,56,"The Greatest Heiress in England",3,"London","Hurst and Blackett",1879
2404,56,"May",3,"London","Hurst and Blackett",1873
2405,56,"Mrs. Arthur",3,"London","Hurst and Blackett",1877
2406,56,"Young Musgrave",3,"London","Macmillan",1877
2407,59,"Lost Rose, and Other Stories",3,"London","Chatto and Windus",1876
2408,59,"Miriam's Marriage",3,"London","Smith, Elder",1873
2409,59,"In the Sweet Spring Time: A Love Story",3,"London","Hurst and Blackett",1880
2410,59,"Doris Barugh: A Yorkshire Story",3,"London","Hurst and Blackett",1878
2411,59,"My Story",3,"London","Hurst and Blackett",1875
2412,69,"Last of Her Line",3,"London","Hurst and Blackett",1879
2413,69,"Little Miss Primrose",3,"London","Hurst and Blackett",1880
2414,164,"Bessie",3,"London","Hurst and Blackett",1872
2415,164,"Forget-me-nots",3,"London","Bentley",1878
2416,164,"John Dorrien",3,"London","Hurst and Blackett",1875
2417,164,"Two Lilies",3,"London","Hurst and Blackett",1877
2418,165,"Castle Daly: The Story of an Irish Home Thirty Years Ago",3,"London","Macmillan",1875
2419,165,"A Doubting Heart",3,"London","Macmillan",1879
2420,168,"Twice Loved",3,"London","Hurst and Blackett",1878
2421,168,"The Woman with a Secret",3,"London","Hurst and Blackett",1872
2422,168,"Hearts or Coronets",3,"London","Hurst and Blackett",1876
2423,168,"Spell-Bound",3,"London","Hurst and Blackett",1874
2424,169,"The Grange Garden: A Romance",3,"London","Chatto and Windus",1876
2425,169,"Oakshott Castle: Being the Memoirs of an Eccentric Nobleman",3,"London","Macmillan",1873
2426,169,"Reginald Hetherege",3,"London","Bentley",1874
2427,621,"Mrs. Denys of Cote",3,"London","Smith, Elder",1880
2428,621,"Straightforward",3,"London","Smith, Elder",1878
2429,621,"This Work-a-Day World",3,"London","Smith, Elder",1875
2430,621,"The Vicissitudes of Bessie Fairfax",3,"London","Smith, Elder",1874
2431,178,"Willing to Die",3,"London","Hurst and Blackett",1873
2432,178,"The Purcell Papers",3,"London","Bentley",1880
2433,178,"In a Glass Darkly",3,"London","Bentley",1872
2434,181,"Lord of Himself: A Novel",3,"London","Remington",1880
2435,182,"Lord Kilgobbin: A Tale of Ireland in Our Own Time",3,"London","Smith, Elder",1872
2436,183,"With a Silken Thread, and Other Stories",3,"London","Chatto and Windus",1880
2437,183,"The Rebel of the Family",3,"London","Chatto and Windus",1880
2438,183,"The Atonement of Leam Dundas: A Novel",3,"London","Chatto and Windus",1876
2439,183,"Under Which Lord?",3,"London","Chatto and Windus",1879
2440,188,"Mine is Thine: A Novel",3,"Edinburgh","Blackwood",1878
2441,194,"Donna Quixote",3,"London","Chatto and Windus",1879
2442,194,"A Fair Saxon: A Novel",3,"London","Tinsley Brothers",1873
2443,195,"Sir Gibbie",3,"London","Hurst and Blackett",1879
2444,195,"Thomas Wingfield, Curate",3,"London","Hurst and Blackett",1876
2445,195,"Paul Faber, Surgeon",3,"London","Hurst and Blackett",1878
2446,195,"The Vicar's Daughter: An Autobiographical Story",3,"London","Tinsley Brothers",1872
2447,195,"Malcolm",3,"London","Henry S. King",1875
2448,195,"The Marquis of Lossie",3,"London","Hurst and Blackett",1877
2449,195,"St. George and St. Michael",3,"London","Henry S. King",1875
2450,200,"My Own Child: A Novel",3,"London","Tinsley Brothers",1876
